question,answer
"How do you create a new Eloquent model in Laravel?","php artisan make:model ModelName"
"How do you create a model with migration?","php artisan make:model ModelName -m"
"How do you create a model with migration, factory, and seeder?","php artisan make:model ModelName -mfs"
"What is the command to run all pending migrations?","php artisan migrate"
"How do you rollback the last migration?","php artisan migrate:rollback"
"How do you reset all migrations?","php artisan migrate:reset"
"How do you fresh migrate (drop all tables and re-run)?","php artisan migrate:fresh"
"What is the command to seed the database?","php artisan db:seed"
"How do you create a new controller?","php artisan make:controller ControllerName"
"How do you create an API resource controller?","php artisan make:controller ControllerName --api"
"How do you create a form request for validation?","php artisan make:request FormRequestName"
"How do you clear all application caches?","php artisan optimize:clear"
"How do you cache the configuration?","php artisan config:cache"
"How do you cache routes?","php artisan route:cache"
"How do you cache views?","php artisan view:cache"
"What is the command to list all routes?","php artisan route:list"
"How do you list routes filtered by method?","php artisan route:list --method=GET"
"How do you list routes filtered by name?","php artisan route:list --name=users"
"How do you create a new middleware?","php artisan make:middleware MiddlewareName"
"How do you create a new job?","php artisan make:job JobName"
"How do you create a queued job?","php artisan make:job JobName --queued"
"How do you create a new event?","php artisan make:event EventName"
"How do you create a new listener?","php artisan make:listener ListenerName"
"How do you create a listener for an event?","php artisan make:listener ListenerName --event=EventName"
"How do you create a new notification?","php artisan make:notification NotificationName"
"How do you create a new policy?","php artisan make:policy PolicyName"
"How do you create a policy for a model?","php artisan make:policy PolicyName --model=ModelName"
"How do you create a new migration?","php artisan make:migration create_table_name"
"How do you create a new seeder?","php artisan make:seeder SeederName"
"How do you create a new factory?","php artisan make:factory FactoryName"
"How do you create a factory for a model?","php artisan make:factory FactoryName --model=ModelName"
"How do you create a new resource?","php artisan make:resource ResourceName"
"How do you create a new artisan command?","php artisan make:command CommandName"
"How do you generate a key?","php artisan key:generate"
"What is the command to start the dev server?","php artisan serve"
"How do you start the dev server on a specific port?","php artisan serve --port=8080"
"How do you define a route in Laravel?","Route::get('/path', [Controller::class, 'method']);"
"How do you define a POST route?","Route::post('/path', [Controller::class, 'method']);"
"How do you define a resource route?","Route::resource('photos', PhotoController::class);"
"How do you define an API resource route?","Route::apiResource('photos', PhotoController::class);"
"How do you use route model binding?","Route::get('/users/{user}', [UserController::class, 'show']);"
"How do you create a route group with middleware?","Route::middleware(['auth'])->group(function () { });"
"How do you create a route group with a prefix?","Route::prefix('admin')->group(function () { });"
"How do you create a named route?","Route::get('/profile', [ProfileController::class, 'show'])->name('profile');"
"How do you redirect to a named route?","return redirect()->route('profile');"
"How do you create a form request with custom rules?","Extend FormRequest and override the rules() method"
"How do you validate incoming request data?","$request->validate(['name' => 'required|string']);"
"How do you authorize a form request?","Override the authorize() method in your FormRequest class"
"How do you return a JSON response?","return response()->json($data);"
"How do you return a JSON response with status code?","return response()->json($data, 201);"
"How do you return a resource response?","return new UserResource($user);"
"How do you return a collection resource?","return UserResource::collection($users);"
"How do you eager load relationships?","User::with('posts')->get();"
"How do you lazy eager load relationships?","User::with('posts')->lazy();"
"How do you create a scope in Eloquent?","public function scopeActive($query) { return $query->where('active', true); }"
"How do you use a local scope?","User::active()->get();"
"How do you use soft deletes on a model?","Use the SoftDeletes trait on your model"
"How do you create an accessor?","Define a getFullNameAttribute() method on the model"
"How do you create a mutator?","Define a setFirstNameAttribute($value) method on the model"
"How do you create a relationship?","Define a posts() method returning hasMany(Post::class)"
"How do you create a one-to-one relationship?","Define a profile() method returning hasOne(Profile::class)"
"How do you create a many-to-many relationship?","Define a roles() method returning belongsToMany(Role::class)"
"How do you create a polymorphic relationship?","Define a comments() method returning morphMany(Comment::class)"
"How do you create an observer?","php artisan make:observer ObserverName --model=ModelName"
"How do you cache a query result?","Cache::remember('key', 60, fn() => User::all());"
"How do you flush cache by tag?","Cache::tags(['users'])->flush();"
"How do you create a custom validation rule?","php artisan make:rule RuleName"
"How do you dispatch a job?","dispatch(new SendEmailJob($user));"
"How do you dispatch a job on a specific queue?","dispatch(new SendEmailJob($user))->onQueue('emails');"
"How do you chain jobs?","Bus::chain([new Job1, new Job2, new Job3])->dispatch();"
"How do you define a scheduled task?","$schedule->command('inspire')->hourly();"
"How do you create a new migration with timestamps?","php artisan make:migration create_users_table --create=users"
"How do you add a column to an existing table?","php artisan make:migration add_email_to_users_table --table=users"
"How do you use database transactions?","DB::transaction(function () { });"
"How do you create a new mail class?","php artisan make:mail MailName"
"How do you create a mailable with markdown?","php artisan make:mail MailName --markdown=emails.mail-name"
"How do you queue an email?","Mail::to($user)->queue(new MailName($user));"
"How do you create a new test?","php artisan make:test TestName"
"How do you create a unit test?","php artisan make:test TestName --unit"
"How do you create a test with Pest?","php artisan make:test --pest TestName"
"How do you run specific tests?","php artisan test --filter=testName"
"How do you run tests with coverage?","php artisan test --coverage"
"How do you create a new Livewire component?","php artisan make:livewire ComponentName"
"How do you publish vendor config?","php artisan vendor:publish --tag=config"
"How do you publish vendor assets?","php artisan vendor:publish --tag=assets"
"How do you use policy gates?","Gate::define('update-post', fn(User $user, Post $post) => $user->id === $post->user_id);"
"How do you check authorization?","$this->authorize('update', $post);"
"How do you use the HTTP client?","Http::get('https://api.example.com/data');"
"How do you make a POST request with the HTTP client?","Http::post('https://api.example.com/data', $data);"
"How do you add headers to HTTP requests?","Http::withHeaders(['Authorization' => 'Bearer token'])->get($url);"
"How do you use the storage disk?","Storage::disk('s3')->put('file.txt', $content);"
"How do you upload a file?","$path = $request->file('avatar')->store('avatars');"
"How do you use the DB facade?","DB::select('select * from users where active = ?', [1]);"
"How do you paginate results?","User::paginate(15);"
"How do you create cursor pagination?","User::cursorPaginate(15);"
"How do you use chunking?","User::chunk(100, function ($users) { });"
"How do you use the query builder?","DB::table('users')->where('active', true)->get();"
"How do you use the query builder select?","DB::table('users')->select('name', 'email')->get();"
"How do you use the query builder join?","DB::table('orders')->join('users', 'orders.user_id', '=', 'users.id')->get();"
"How do you use the query builder group by?","DB::table('orders')->select('user_id', DB::raw('sum(total) as total'))->groupBy('user_id')->get();"
"How do you use the query builder having?","DB::table('orders')->select('user_id', DB::raw('sum(total) as total'))->groupBy('user_id')->having('total', '>', 1000)->get();"
"How do you use the query builder order by?","DB::table('users')->orderBy('name', 'asc')->get();"
"How do you use the query builder limit?","DB::table('users')->limit(10)->get();"
"How do you use the query builder distinct?","DB::table('users')->distinct()->get(['country']);"
"How do you use the query builder pluck?","DB::table('users')->pluck('name');"
"How do you use the query builder value?","DB::table('users')->where('id', 1)->value('name');"
"How do you use the query builder first?","DB::table('users')->where('id', 1)->first();"
"How do you use the query builder find?","DB::table('users')->find(1);"
"How do you use the query builder count?","DB::table('users')->count();"
"How do you use the query builder sum?","DB::table('orders')->sum('total');"
"How do you use the query builder avg?","DB::table('orders')->avg('total');"
"How do you use the query builder max?","DB::table('orders')->max('total');"
"How do you use the query builder min?","DB::table('orders')->min('total');"
"How do you use the query builder exists?","DB::table('users')->where('email', 'test@example.com')->exists();"
"How do you use the query builder insert?","DB::table('users')->insert(['name' => 'John', 'email' => 'john@example.com']);"
"How do you use the query builder update?","DB::table('users')->where('id', 1)->update(['name' => 'Jane']);"
"How do you use the query builder delete?","DB::table('users')->where('id', 1)->delete();"
"How do you use the query builder increment?","DB::table('users')->where('id', 1)->increment('login_count');"
"How do you use the query builder where in?","DB::table('users')->whereIn('id', [1, 2, 3])->get();"
"How do you use the query builder where not in?","DB::table('users')->whereNotIn('id', [1, 2, 3])->get();"
